title,abstract,date_publication,keywords
"From Misaligned Sub-Saturns to Aligned Brown Dwarfs:The Highest Mp/M∗M_{\rm p}/M{{}_{*}}italic_M start_POSTSUBSCRIPT roman_p end_POSTSUBSCRIPT / italic_M start_FLOATSUBSCRIPT ∗ end_FLOATSUBSCRIPT Systems Exhibit Low Obliquities, Even around Hot Stars","We present a pattern emerging from stellar obliquity measurements in single-star systems: planets with high planet-to-star mass ratios (MP/M∗subscript𝑀Psubscript𝑀\,M_{\rm P}/M_{*}italic_M start_POSTSUBSCRIPT roman_P end_POSTSUBSCRIPT / italic_M start_POSTSUBSCRIPT ∗ end_POSTSUBSCRIPT>>> 2×10−32superscript1032\times 10^{-3}2 × 10 start_POSTSUPERSCRIPT - 3 end_POSTSUPERSCRIPT) — such as super-Jupiters, brown dwarf companions, and M-dwarfs hosting Jupiter-like planets — tend to be aligned, even around hot stars. This alignment represents a 3.7σ𝜎\sigmaitalic_σ deviation from the obliquity distribution observed in systems with lower mass ratios (MP/M∗subscript𝑀Psubscript𝑀\,M_{\rm P}/M_{*}italic_M start_POSTSUBSCRIPT roman_P end_POSTSUBSCRIPT / italic_M start_POSTSUBSCRIPT ∗ end_POSTSUBSCRIPT<<< 2×10−32superscript1032\times 10^{-3}2 × 10 start_POSTSUPERSCRIPT - 3 end_POSTSUPERSCRIPT), which predominantly include Jupiters and sub-Saturns. The only known outlier system, XO-3, exhibits misalignment confirmed via our newly collected Rossiter-McLaughlin effect measurement (λ=41.8−2.0+2.1𝜆subscriptsuperscript41.82.12.0\lambda=41.8^{+2.1}_{-2.0}italic_λ = 41.8 start_POSTSUPERSCRIPT + 2.1 end_POSTSUPERSCRIPT start_POSTSUBSCRIPT - 2.0 end_POSTSUBSCRIPT∘). However, the relatively large Gaia Renormalized Unit Weight Error (RUWE) of XO-3 suggests that it may harbor an undetected binary companion, potentially contributing to its misalignment. Given that tidal realignment mechanisms are weak for hot stars, the observed alignment in high MP/M∗subscript𝑀Psubscript𝑀\,M_{\rm P}/M_{*}italic_M start_POSTSUBSCRIPT roman_P end_POSTSUBSCRIPT / italic_M start_POSTSUBSCRIPT ∗ end_POSTSUBSCRIPT  systems is likely primordial rather than resulting from tidal interactions. One possible explanation is that only dynamically isolated planets can continue accreting gas and evolve into super-Jupiters while maintaining their primordial alignment. Conversely, planets formed in compact configurations may be unable to grow beyond the gap-opening mass, for which our work suggests an empirical boundary MP/M∗subscript𝑀Psubscript𝑀\,M_{\rm P}/M_{*}italic_M start_POSTSUBSCRIPT roman_P end_POSTSUBSCRIPT / italic_M start_POSTSUBSCRIPT ∗ end_POSTSUBSCRIPT=== 2×10−32superscript1032\times 10^{-3}2 × 10 start_POSTSUPERSCRIPT - 3 end_POSTSUPERSCRIPT  identified between aligned high MP/M∗subscript𝑀Psubscript𝑀\,M_{\rm P}/M_{*}italic_M start_POSTSUBSCRIPT roman_P end_POSTSUBSCRIPT / italic_M start_POSTSUBSCRIPT ∗ end_POSTSUBSCRIPT  systems and misaligned low MP/M∗subscript𝑀Psubscript𝑀\,M_{\rm P}/M_{*}italic_M start_POSTSUBSCRIPT roman_P end_POSTSUBSCRIPT / italic_M start_POSTSUBSCRIPT ∗ end_POSTSUBSCRIPT  systems, with dynamical instabilities contributing to the diverse spin-orbit misalignments observed in the latter.",12/5/2024,"['exoplanet dynamics (490)', ' star-planet interactions (2177)', ' exoplanets (498)', ' planetary theory (1258)', ' exoplanet systems (484)']"
Uniting the Observed Dynamical Dark Energy Preference with the Discrepancies in ΩmsubscriptΩ𝑚\Omega_{m}roman_Ω start_POSTSUBSCRIPT italic_m end_POSTSUBSCRIPT and H0subscript𝐻0H_{0}italic_H start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT Across Cosmological Probes,"Recent results from Type Ia Supernovae (SNe), baryon acoustic oscillations (BAO), and the cosmic microwave background (CMB) indicate 1) potentially discrepant measurements of the matter density ΩmsubscriptΩ𝑚\Omega_{m}roman_Ω start_POSTSUBSCRIPT italic_m end_POSTSUBSCRIPT and Hubble constant H0subscript𝐻0H_{0}italic_H start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT in a ΛΛ\Lambdaroman_ΛCDM model when data are analyzed individually, and 2) hints of dynamical dark energy in a w0⁢wasubscript𝑤0subscript𝑤𝑎w_{0}w_{a}italic_w start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT italic_w start_POSTSUBSCRIPT italic_a end_POSTSUBSCRIPTCDM model when data are combined in a joint analysis.We examine whether underlying dynamical dark energy cosmologies favored by real data would result in biases in ΩmsubscriptΩ𝑚\Omega_{m}roman_Ω start_POSTSUBSCRIPT italic_m end_POSTSUBSCRIPT and H0subscript𝐻0H_{0}italic_H start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT for each probe when analyzed individually in a ΛΛ\Lambdaroman_ΛCDM framework.We generate mock datasets in w0⁢wasubscript𝑤0subscript𝑤𝑎w_{0}w_{a}italic_w start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT italic_w start_POSTSUBSCRIPT italic_a end_POSTSUBSCRIPTCDM cosmologies, fit the individual probes under the ΛΛ\Lambdaroman_ΛCDM model, and find that expected biases in ΩmsubscriptΩ𝑚\Omega_{m}roman_Ω start_POSTSUBSCRIPT italic_m end_POSTSUBSCRIPT are ∼0.03similar-toabsent0.03\sim 0.03∼ 0.03.Notably, the ΩmsubscriptΩ𝑚\Omega_{m}roman_Ω start_POSTSUBSCRIPT italic_m end_POSTSUBSCRIPT differences between probes are consistent with the values observed in the real datasets.We also observe that mock DESI BAO datasets generated in the w0⁢wasubscript𝑤0subscript𝑤𝑎w_{0}w_{a}italic_w start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT italic_w start_POSTSUBSCRIPT italic_a end_POSTSUBSCRIPTCDM cosmologies will lead to a biased measurement of H0subscript𝐻0H_{0}italic_H start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT higher by (∼1.2similar-toabsent1.2\sim 1.2∼ 1.2km/s/Mpc) when fitted under ΛΛ\Lambdaroman_ΛCDM, appearing to mildly improve the Hubble tension, but as the true underlying H0subscript𝐻0H_{0}italic_H start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT is lower, the tension is in fact worsened. We find that the ΩmsubscriptΩ𝑚\Omega_{m}roman_Ω start_POSTSUBSCRIPT italic_m end_POSTSUBSCRIPT discrepancies, the high BAO H0subscript𝐻0H_{0}italic_H start_POSTSUBSCRIPT 0 end_POSTSUBSCRIPT relative to CMB, and the joint dynamical dark energy signal itself are all related effects that could be explained simultaneously with either new physics or new systematics.While we find it is possible to unite many of the discrepancies seen in recent analyses along a single axis, our results underscore the importance of understanding systematic differences in datasets, as they have unique impacts in different cosmological parameter spaces.",12/5/2024,"['supernovae', 'physics', 'lambdaroman_λcdm', 'cosmologies', 'cosmological']"
Journey to the center of the common envelope evolution,"Three-dimensional hydrodynamical simulations of common envelope evolution are often terminated soon after the initial dynamical plunge of the companion transitions into a long-lasting post-dynamical inspiral with slowly varying semi-major axis, absubscript𝑎ba_{\text{b}}italic_a start_POSTSUBSCRIPT b end_POSTSUBSCRIPT. This premature termination is often due to insufficient numerical resolution and challenges associated with the softening of the gravitational potential of the two cores. In this work, we use statically-refined 3D hydrodynamical simulations to study binaries orbiting inside a common envelope, exploring the effects of varying numerical resolution, δ𝛿\deltaitalic_δ, gravitational potential softening prescriptions, and the associated softening lengthscale, ϵitalic-ϵ\epsilonitalic_ϵ. We find that quantities such as the binary inspiral timescale or the volume-averaged shearing rate typically converge to asymptotic values only for ϵ≤0.1⁢abitalic-ϵ0.1subscript𝑎b\epsilon\leq 0.1a_{\text{b}}italic_ϵ ≤ 0.1 italic_a start_POSTSUBSCRIPT b end_POSTSUBSCRIPT and δ≤6×10−3⁢ab𝛿6superscript103subscript𝑎b\delta\leq 6\times 10^{-3}a_{\text{b}}italic_δ ≤ 6 × 10 start_POSTSUPERSCRIPT - 3 end_POSTSUPERSCRIPT italic_a start_POSTSUBSCRIPT b end_POSTSUBSCRIPT with smaller ϵitalic-ϵ\epsilonitalic_ϵ requiring correspondingly smaller δ𝛿\deltaitalic_δ. This suggests that many of the contemporary simulations could be effectively under-resolved. After a few tens of binary orbits, the two cores become surrounded by a corotating, nearly hydrostatic gas structure, resembling the shared envelope of a contact binary. We propose that this structure is responsible for the slowing down of the dynamical inspiral, leading to an asymptotic inspiral timescale of approximately 105superscript10510^{5}10 start_POSTSUPERSCRIPT 5 end_POSTSUPERSCRIPT orbital periods for a binary mass ratio q=1/3𝑞13q=1/3italic_q = 1 / 3, and approximately 106superscript10610^{6}10 start_POSTSUPERSCRIPT 6 end_POSTSUPERSCRIPT orbital periods for a binary mass ratio q=1𝑞1q=1italic_q = 1. By investigating kinetic helicity, we argue that the magnetic field is unlikely to organize into large-scale structures via the usual α𝛼\alphaitalic_α–effect during the post-dynamical phase. Nonetheless, even in the absence of magnetic fields, we observe intermittent polar outflows collimated by partially centrifugally evacuated polar funnels. We discuss implications for the long-term evolution in the post-dynamical inspiral phase and the ultimate emergence of the post-common-envelope binary.",12/5/2024,"['Key Words.: Hydrodynamics – binaries: close – Methods: numerical – Stars: kinematics and dynamics – Stars: winds', ' outflows – Stars: magnetic field']"
Baryon Acoustic Oscillations from galaxy surveys Baryon Acoustic Oscillations from galaxy surveys,"We conducted a review of the fundamental aspects of describing and detecting the Baryon Acoustic Oscillation (BAO) feature in galaxy surveys, emphasizing the optimal tools for constraining this probe based on the type of observation. Additionally, we included new results with two spectroscopic datasets to determine the best-fit model for the power spectrum, P⁢(k)𝑃𝑘P(k)italic_P ( italic_k ). Using the framework described in a previous analysis, we applied this to a different sub-sample of the BOSS survey, specifically galaxies with redshifts 0.3<z<0.6503𝑧0650.3<z<0.650.3 < italic_z < 0.65. We also examined the eBOSS dataset with redshifts 0.6<z<1.006𝑧100.6<z<1.00.6 < italic_z < 1.0, adjusting the number of parameters in the traditional polynomial fit to account for the higher redshift range.Our results showed that the dilation scale parameter α𝛼\alphaitalic_α derived from the BOSS dataset had smaller error bars compared to the eBOSS dataset, attributable to the larger number of luminous red galaxies (LRGs) in the BOSS sample. We also compared our findings with other surveys such as WiggleZ, DES Y6, and DESI III, noting that photometric surveys typically yield larger error bars due to their lower precision. The DESI III results were in good agreement with ours within 1⁢σ1𝜎1\sigma1 italic_σ, with most bins close to unity.The variation of α𝛼\alphaitalic_α with respect to the redshift is an unresolved issue in the field, appearing in both three-dimensional and angular tomographic analyses.",12/5/2024,"['galaxies', 'alphaitalic_α', 'spectroscopic', 'galaxy', 'photometric']"
Optical constraints on the coldest metal-poor population,Context. The coldest metal-poor population made of T and Y dwarfs are archaeological tracers of our Galaxy because they are very old and have kept the pristine material. The optical properties of these objects are important to characterise their atmospheric properties.,12/5/2024,"['coldest', 'old', 'dwarfs', 'archaeological', 'metal']"
The Red Supergiant Problem: As Seen from the Local Group’s Red Supergiant Populations,"The red supergiant (RSG) problem, which describes the apparent lack of high-luminosity progenitors detected in Type II supernova (SN) pre-images, has been a contentious topic for two decades. We re-assess this problem using a new RSG population of the Milky Way supplemented with RSGs from other galaxies in the Local Group. In particular, we quantify the uncertainties inherent to assumptions made regarding the star’s temperature or spectral type and the corresponding bolometric correction. We find that only M3 or later RSGs reproduce the steepness seen from the SN II pre-imaged sample. To assess the significance of the RSG problem, we build a metallicity-weighted cumulative luminosity distribution of M3 or later RSGs and directly compare it to the luminosity distribution of SN II pre-imaged progenitors. We find no evidence of missing high-luminosity pre-imaged progenitors since the uncertainties on the pre-imaged SN progenitors and single-band derived luminosity are too large to meaningfully infer population differences.",12/5/2024,['Supernova Progenitors']
The Thermal Sunyaev-Zel’dovich Effect from the Epoch of Reionization,"The thermal Sunyaev-Zel’dovich (tSZ) effect arises from inverse Compton scattering of low energyphotons onto thermal electrons, proportional to the integrated electron pressure, and is usuallyobserved from galaxy clusters. However, we can expect that the Epoch of Reionization (EoR) also contributesto this signal, but that contribution has not been previously evaluated. In this work we analyse a suiteof fully-coupled radiation-hydrodynamics simulations based on RAMSES-CUDATON to calculate and studythe tSZ signal from the Reionization Epoch. We construct lightcones of the electron pressure in theintergalactic medium for 6∼<z∼<6𝑧6\mathrel{\hbox{\hbox to0.0pt{\hbox{\lower 4.0pt\hbox{$\sim$}}\hss}\hbox{$<$}}}z6 ∼< italic_z to calculate the resulting Compton y-parameters. We vary thebox sizes, resolutions and star formation parameters to investigate how these factors affect the tSZeffect. We produce plots of maps and distributions of y𝑦yitalic_y, as well as angular temperature power spectraof the tSZ signal obtained from integrating the lightcones constructed for each simulation. We find that the tSZ signal from reionization is generally sub-dominant to the post-reionization one at larger scales (ℓ<104ℓsuperscript104\ell<10^{4}roman_ℓ < 10 start_POSTSUPERSCRIPT 4 end_POSTSUPERSCRIPT), but can contribute non-trivially and potentially contaminate the measured signals. At scales probed by currentexperiments like SPT (ℓ∼103−104similar-toℓsuperscript103superscript104\ell\sim 10^{3}-10^{4}roman_ℓ ∼ 10 start_POSTSUPERSCRIPT 3 end_POSTSUPERSCRIPT - 10 start_POSTSUPERSCRIPT 4 end_POSTSUPERSCRIPT), we find that the tSZ signal power spectrum from reionizationcontributes at roughly a percent level compared to the current templates, with the quadratic Doppler effect contributing an additional ∼10%similar-toabsentpercent10\sim 10\%∼ 10 % to the tSZ signal. At smaller scales the tSZ from reionization peaks and can potentially dominate the total signaland is thus a potentially much more important contribution to take into account in any future, more sensitive experiments.",12/5/2024,"['toℓsuperscript103superscript104', 'electrons', 'radiation', 'energyphotons', 'electron']"
Investigating the role of nuclear parametersin Neutron Star oscillations: a model comparison,"Recent studies based on the relativistic mean field (RMF) model found certain nuclear empirical parameters, in particular the nucleon effective mass, to be strongly correlated with observable properties of Neutron Stars (NSs), such as the frequencies of f−limit-from𝑓f-italic_f -mode oscillations. This shows the potential to constrain the values of effective mass from future observations of f−limit-from𝑓f-italic_f -modes. One of our primary goals of this work is to investigate whether such correlations are physical or an artifact of the underlying nuclear model. To test this, we perform a comparative study of the correlations between NS astrophysical observables and nuclear physics parameters using two different equation of state models based on RMF theory and non-relativistic Meta-Modelling (MM) scheme. The nuclear meta-model does not assume any underlying nuclear model and therefore allows us to test the model dependence of the results. The calculations of the f−limit-from𝑓f-italic_f -mode characteristics are performed within the relativistic Cowling approximation. We use state-of-the-art nuclear microscopic calculations at low density and multi-messenger astrophysical data at high-density within a Bayesian-inspired scheme to constrain the parameter space of the nuclear models. From the posterior distribution, we probe the underlying correlations among nuclear parameters and with NS observables. We find that the correlation between the symmetry energy and its slope is physical, while that of the nucleon effective mass with NS observables is model-dependent. The study shows that the effective mass governs the high density behaviour in RMF models, while in the MM it is controlled by the higher order saturation parameters, and hence the effective mass in the MM is not correlated with NS observables. The findings of this investigation are interesting both for astrophysics as well as nuclear physics communities.",12/5/2024,"['physics', 'astrophysics', 'astrophysical', 'nuclear', 'neutron']"
DARWEN: Data-driven Algorithm for Reduction of Wide Exoplanetary Networks,"Context. Exoplanet atmospheric modeling is advancing toward complex coupled circulation-chemistry models, from chemically diverse 1D models to 3D global circulation models (GCMs). These models are crucial for interpreting observations from facilities like JWST and ELT and understanding exoplanet atmospheres. However, maintaining chemical diversity in 1D models and especially in GCMs is computationally expensive, limiting their complexity. Optimizing the number of reactions and species in the simulated atmosphere can address this tradeoff, but there is a lack of transparent and efficient methods for this optimization in the current exoplanet literature.",12/5/2024,['Key Words.: Astrochemistry –Methods: numerical –Planets and satellites: atmospheres –Planets and satellites: composition –Planets and satellites: gaseous planets']
Water Ice in the Edge-On Orion Silhouette Disk 114–426 from JWST NIRCam Images,"We examine images of the protoplanetary disk 114–426 with JWST/NIRCam in 12 bands. This large disk is oriented edge-on with a dark midplane flanked by lobes of scattered light. The outer edges of the midplane are seen in silhouette against the Orion Nebula, providing a unique opportunity to study planet-forming material in absorption. We discover a dip in the scattered light of the disk at 3 µmµm\micronroman_µm – compelling evidence for the presence of water ice. The 3 µmµm\micronroman_µm dip is also seen in the silhouette of the disk, where we quantify the ice abundance with models of pure absorption and avoid the complications of disk scattering effects. We find grain ice-to-refractory mass ratios of up to ∼similar-to\sim∼0.2, maximum grain sizes of 0.25 to 5 µmµm\micronroman_µm, and a total dust plus ice mass of 0.46 M⊕subscript𝑀direct-sumM_{\oplus}italic_M start_POSTSUBSCRIPT ⊕ end_POSTSUBSCRIPT in the silhouette region. We also discover excess absorption in the NIRCam bands that include the Paschen α𝛼\alphaitalic_α line, suggesting there may be excited atomic hydrogen in the disk. Examining the morphology of the scattered light lobes reveals that they are laterally offset from each other and exhibit a brightness asymmetry that flips with wavelength – both evidence for a tilted inner disk in this system.",12/5/2024,"['orion', 'protoplanetary', 'nebula', 'midplane', 'atomic']"
